Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
2016-01-29,14.0967,14.173,14.0304,14.1066,14.1066,6111817,,,,,,2016,1,4,1
2016-02-01,14.1003,14.2749,13.9034,14.0778,14.0778,9584560,-0.204449,,,,,2016,2,0,1
2016-02-02,14.2361,14.323,14.1288,14.2156,14.2156,13682168,0.979167,,,,,2016,2,1,1
2016-02-03,14.5681,14.6835,14.4236,14.5388,14.5388,19283506,2.27329,,,,,2016,2,2,1
2016-02-04,14.4966,14.568,14.4084,14.4797,14.4797,6432275,-0.406125,,,,,2016,2,3,1
2016-02-05,14.3929,14.5269,14.2884,14.4222,14.4222,10242634,-0.397601,,,,,2016,2,4,1
2016-02-08,14.7281,14.7993,14.6874,14.7585,14.7585,20748419,2.331932,,,,,2016,2,0,1
2016-02-09,14.8449,14.9437,14.8177,14.9164,14.9164,19508791,1.070087,,,,,2016,2,1,1
2016-02-10,14.902,14.9716,14.7272,14.7963,14.7963,8976012,-0.805043,,,,,2016,2,2,1
2016-02-11,14.905,14.9796,14.8295,14.9042,14.9042,8020977,0.728977,,,,,2016,2,3,1
2016-02-12,14.7726,14.8647,14.694,14.7859,14.7859,10406952,-0.793298,,,,,2016,2,4,1
2016-02-15,14.6161,14.7028,14.5841,14.6706,14.6706,4644220,-0.77989,,,,,2016,2,0,1
2016-02-16,14.887,14.9465,14.6555,14.7142,14.7142,7544861,0.297289,,,,,2016,2,1,1
2016-02-17,14.2202,14.407,14.0953,14.2815,14.2815,20083954,-2.940749,,,,,2016,2,2,1
2016-02-18,13.8865,13.9824,13.8145,13.9103,13.9103,18034706,-2.599179,,,,,2016,2,3,1
2016-02-19,13.8218,13.899,13.7217,13.7988,13.7988,7901798,-0.801587,,,,,2016,2,4,1
2016-02-22,13.6301,13.6602,13.5675,13.5975,13.5975,11816138,-1.459116,,,,,2016,2,0,1
2016-02-23,13.7264,13.844,13.5568,13.674,13.674,5423356,0.562611,,,,,2016,2,1,1
2016-02-24,13.5963,13.6475,13.4479,13.4987,13.4987,15369988,-1.281895,,,,,2016,2,2,1
2016-02-25,13.2541,13.3327,13.1488,13.2273,13.2273,10768391,-2.010694,14.2687,,,,2016,2,3,1
2016-02-26,13.481,13.6537,13.3659,13.5381,13.5381,9892518,2.350106,14.2403,,,1.530836,2016,2,4,1
2016-02-29,13.4925,13.5759,13.423,13.5064,13.5064,6742075,-0.234614,14.2118,,,1.530861,2016,2,0,1
2016-03-01,13.5515,13.6047,13.4817,13.5349,13.5349,8027991,0.210899,14.1777,,,1.509313,2016,3,1,1
2016-03-02,13.3696,13.4245,13.2055,13.2599,13.2599,8650591,-2.031348,14.1138,,,1.438164,2016,3,2,1
2016-03-03,13.0979,13.214,13.0557,13.1715,13.1715,13467145,-0.666518,14.0484,,,1.438929,2016,3,3,1
2016-03-04,13.2788,13.3322,13.162,13.2152,13.2152,6727872,0.331491,13.988,,,1.449854,2016,3,4,1
2016-03-07,13.0175,13.0533,12.9724,13.0082,13.0082,27428403,-1.566671,13.9005,,,1.315379,2016,3,0,1
2016-03-08,13.1507,13.1941,13.0636,13.1068,13.1068,22171181,0.758374,13.81,,,1.295992,2016,3,1,1
2016-03-09,13.0069,13.1418,12.8773,13.0122,13.0122,5367258,-0.722023,13.7208,,,1.295556,2016,3,2,1
2016-03-10,12.9369,13.0708,12.8471,12.9807,12.9807,8746605,-0.242128,13.6246,,,1.259546,2016,3,3,1
2016-03-11,12.9284,12.9635,12.8547,12.8897,12.8897,6178970,-0.701185,13.5298,,,1.259282,2016,3,4,1
2016-03-14,13.3107,13.3949,13.1921,13.276,13.276,10403543,2.99725,13.4601,,,1.502651,2016,3,0,1
2016-03-15,13.3456,13.4357,13.2041,13.2939,13.2939,27314945,0.134637,13.3891,,,1.498615,2016,3,1,1
2016-03-16,13.1025,13.1519,13.0539,13.1032,13.1032,8587335,-1.433963,13.3302,,,1.404118,2016,3,2,1
2016-03-17,13.2572,13.4284,13.1182,13.2891,13.2891,12707689,1.418365,13.2991,,,1.362764,2016,3,3,1
2016-03-18,12.9848,13.1035,12.9478,13.0663,13.0663,14845338,-1.676651,13.2625,,,1.39608,2016,3,4,1
2016-03-21,13.1755,13.2528,13.0554,13.1325,13.1325,4831216,0.506539,13.2392,,,1.376506,2016,3,0,1
2016-03-22,12.7921,12.8552,12.7075,12.7704,12.7704,7504675,-2.75669,13.194,,,1.480363,2016,3,1,1
2016-03-23,12.4989,12.6356,12.411,12.5474,12.5474,5259691,-1.746941,13.1465,,,1.499615,2016,3,2,1
2016-03-24,12.5931,12.6905,12.523,12.6203,12.6203,5244733,0.581207,13.1161,,,1.4604,2016,3,3,1
2016-03-25,12.7707,12.8404,12.725,12.7946,12.7946,1841106,1.381057,13.079,,,1.384593,2016,3,4,1
2016-03-28,12.7824,12.9686,12.6732,12.8587,12.8587,12198282,0.501369,13.0466,,,1.395404,2016,3,0,1
2016-03-29,12.8244,12.8906,12.8003,12.8665,12.8665,27769432,0.060287,13.0132,,,1.393269,2016,3,1,1
2016-03-30,12.7801,12.9171,12.7018,12.8383,12.8383,9124997,-0.218603,12.9921,,,1.328302,2016,3,2,1
